R,Name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Apps,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,R,,Name,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,R,,Name,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
Lasse Schöne,Ajax,26(3),2276,8,9,0,0,2,83.2,0.7,3,7.34,26(3),0.8,0.4,1,0,0.5,0.4,0.1,0,7.34,20,,"Uros MaticNAC Breda, 25, DM(C)",23(5),2027,1,2,0.9,0.9,1.3,1.6,-,1.2,1.3,6.72,176,,"Uros MaticNAC Breda, 25, DM(C)",23(5),2027,2,0.9,26.8,77.1,0.4,1.5,-,6.72
Leonard Nienhuis,Cambuur,34,2970,0,0,1,0,0,57.5,0.2,1,6.63,34,0,0,0,0,1.3,0.1,0,0,6.63,197,,"Denys OliynykVitesse, 28, AM(L)",22(8),2024,3,4,1.7,1.2,1.1,0.8,0.3,0.9,1.3,6.93,117,,"Denys OliynykVitesse, 28, AM(L)",22(8),2024,4,1.2,26.5,80.4,0.2,0.6,-,6.93
Lex Immers,Feyenoord,30,2630,7,4,1,0,2.4,76.3,3.6,3,7.24,30,1.7,0.8,1.2,0,1.4,0.8,0.1,0,7.24,29,,"Celso OrtizAZ Alkmaar, 26, DM(C)",24,2005,-,-,0.5,1,0.6,1.2,-,0.6,0.7,7.08,77,,"Celso OrtizAZ Alkmaar, 26, DM(C)",24,2005,-,1,43,79.7,0.3,2.5,-,7.08
Luc Castaignos,Twente,27(2),2314,10,0,4,0,2.3,76.4,1.1,1,6.77,27(2),0.4,0.3,1.4,0,0.2,0.4,0.1,0,6.77,165,,"Thulani SereroAjax, 25, M(C)",21(8),2000,1,-,0.5,0.5,0.7,1.6,-,0.9,1.1,6.98,100,,"Thulani SereroAjax, 25, M(C)",21(8),2000,-,0.5,43.4,89,-,0.8,-,6.98
Lucas Andersen,Ajax,19(8),1627,2,3,2,0,0.7,83.3,0.4,0,6.86,19(8),0.9,0.6,0.6,0,0.3,0.7,0.1,0,6.86,136,,"Kenny van der WegNAC Breda, 24, D(CL)",22(2),1994,1,1,0.4,0.3,0.2,0.5,-,0.3,0.6,6.95,110,,"Kenny van der WegNAC Breda, 24, D(CL)",22(2),1994,1,0.3,29,75.2,0.2,2,-,6.95
Lucas Bijker,Cambuur,28(2),2502,0,2,4,1,0.5,81.8,0.6,1,6.88,28(2),1.6,2.2,1.1,0.5,4.5,0.5,0.6,0,6.88,130,,"Dennis TelgenkampHeracles, 28, GK",22,1980,-,-,-,0.1,-,0.1,-,-,-,6.48,234,,"Dennis TelgenkampHeracles, 28, GK",22,1980,-,0.1,32.9,62,-,9.7,-,6.48
Luciano Narsingh,PSV Eindhoven,31(1),2552,6,10,1,0,1.4,81,0.2,0,7.23,31(1),0.9,0.1,0.3,0,0,0.3,0.1,0,7.23,37,,"Mickey van der HartGo Ahead Eagles, 21, GK",22,1980,-,-,-,-,0.1,0.1,-,-,-,6.99,99,,"Mickey van der HartGo Ahead Eagles, 21, GK",22,1980,-,-,37.3,58.8,-,13.7,-,6.99
Luciano Slagveer,Heerenveen,33,2826,11,3,2,1,2.3,73.9,0.8,0,7.08,33,1.6,0.8,0.8,0,0.7,1.3,0.1,0,7.08,76,,"Xandro SchenkGo Ahead Eagles, 22, D(CL)",21(5),1972,-,-,0.2,0.2,0.2,0.2,-,0.1,0.3,6.68,188,,"Xandro SchenkGo Ahead Eagles, 22, D(CL)",21(5),1972,-,0.2,28.2,80.4,-,2.5,-,6.68
Luigi Bruins,Excelsior,20(2),1684,2,3,3,1,0.6,75,1.3,3,7.01,20(2),2.4,1.1,1.6,0,2.6,1.4,0.5,0,7.01,90,,"Ilias HaddadFC Dordrecht, 26, D(C)",23(2),1964,-,-,0.5,0.3,0.1,0.4,0.1,0.1,0.4,6.56,216,,"Ilias HaddadFC Dordrecht, 26, D(C)",23(2),1964,-,0.3,38.9,81.9,-,3.8,-,6.56
Luuk de Jong,PSV Eindhoven,32,2845,20,10,0,0,3.7,71.1,4.7,5,7.96,32,1.1,0.3,1,0,1.2,0.5,0.1,1,7.96,1,,"Thomas LamPEC Zwolle, 21, D(C),DM(C)",22(6),1958,2,2,0.5,0.6,0.3,0.5,-,0.8,0.6,6.69,186,,"Thomas LamPEC Zwolle, 21, D(C),DM(C)",22(6),1958,2,0.6,32.9,82.1,0.3,2.4,-,6.69
Maikel Kieftenbeld,Groningen,33,2879,0,4,8,0,0.7,82.7,1,0,6.79,33,2.2,2.3,1.7,0,2.5,0.8,0.4,1,6.79,154,,"Nick ViergeverAjax, 26, D(CL),DM(C)",20(6),1928,2,-,0.4,0.5,0.6,0.5,-,0.7,0.6,6.98,102,,"Nick ViergeverAjax, 26, D(CL),DM(C)",20(6),1928,-,0.5,45.9,85.2,0.1,1.8,0.1,6.98
Maikel van der Werff,PEC Zwolle,29(4),2570,4,1,1,0,0.9,84.3,1.4,4,7.25,29(4),2.2,2.5,1.2,0.7,4.9,0.5,0.5,0,7.25,27,,"Rubio RubinUtrecht, 19, AM(C),FW",21(7),1925,3,5,1.5,1.1,0.5,1.9,0.3,1.4,1.4,6.64,193,,"Rubio RubinUtrecht, 19, AM(C),FW",21(7),1925,5,1.1,19.9,80.6,0.2,0.5,0.1,6.64
Mark Diemers,Utrecht,17(4),1440,2,1,3,0,1.4,83.1,0.5,0,6.87,17(4),2.1,1.8,0.4,0,0.7,0.9,0.2,0,6.87,131,,"Markus HenriksenAZ Alkmaar, 23, AM(C)",22,1917,7,4,1.9,1.9,0.4,1.4,0.3,0.8,1.4,7.14,60,,"Markus HenriksenAZ Alkmaar, 23, AM(C)",22,1917,4,1.9,25.5,71.5,0.4,0.6,-,7.14
Mark Uth,Heerenveen,32,2679,15,10,6,0,3.4,70.9,1.1,3,7.17,32,0.7,0.5,1.3,0,0.8,0.5,0.1,0,7.17,54,,"Nick MarsmanTwente, 24, GK",21,1890,-,-,-,-,-,0.1,-,-,-,6.7,184,,"Nick MarsmanTwente, 24, GK",21,1890,-,-,35,66,-,7,-,6.7
Mark van der Maarel,Utrecht,21(2),1880,1,2,2,1,0.7,74.5,1,0,7.17,21(2),3.3,2.9,1.3,0.3,3.9,1,0.5,0,7.17,53,,"Jarchinio AntoniaGroningen, 24, AM(LR)",22(5),1888,2,7,0.8,1.4,0.6,1.2,0.6,0.7,1.4,6.8,151,,"Jarchinio AntoniaGroningen, 24, AM(LR)",22(5),1888,7,1.4,21,74.4,0.9,0.9,-,6.8
Mark-Jan Fledderus,Heracles,31(2),2673,1,2,2,0,1.1,78.3,0.5,1,6.72,31(2),1.4,2.2,1.3,0,1.8,0.4,0.2,0,6.72,178,,"Gévero MarkietUtrecht, 24, D(CR)",21(8),1885,3,1,0.9,0.1,0.4,0.2,-,0.3,0.6,6.97,106,,"Gévero MarkietUtrecht, 24, D(CR)",21(8),1885,1,0.1,34.4,82.3,-,1.9,-,6.97
Marko Vejinovic,Vitesse,31,2726,10,8,5,0,2.1,83.9,1.6,4,7.73,31,3.4,1.6,2.5,0,1.7,1.3,0.2,0,7.73,3,,"Mark van der MaarelUtrecht, 26, D(CLR)",21(2),1880,1,2,0.7,0.6,0.4,0.7,-,0.3,0.4,7.17,53,,"Mark van der MaarelUtrecht, 26, D(CLR)",21(2),1880,2,0.6,38.1,74.5,0.2,3.6,-,7.17
Markus Henriksen,AZ Alkmaar,22,1917,7,4,3,0,1.9,71.5,2.2,1,7.14,22,1.5,1.5,1.4,0,1,0.6,0.3,0,7.14,60,,"Erik BakkerCambuur, 25, M(C)",22(5),1860,5,-,1.1,0.6,0.2,0.4,-,0.9,1.2,6.41,242,,"Erik BakkerCambuur, 25, M(C)",22(5),1860,-,0.6,31.4,82.5,0.3,2,0.1,6.41
Marlon Pereira,Cambuur,17(4),1472,0,1,1,0,0.1,84.2,0.5,0,6.37,17(4),0.8,1.2,0.9,0.3,3.1,0.6,0.2,1,6.37,245,,"Kyle EbecilioTwente, 21, DM(C)",21(5),1858,3,2,0.8,0.6,0.3,0.3,-,0.7,0.9,6.56,222,,"Kyle EbecilioTwente, 21, DM(C)",21(5),1858,2,0.6,27.3,85,-,0.8,-,6.56
Marnix Kolder,Go Ahead Eagles,20(8),1817,3,0,0,0,2,63.5,2.9,1,6.63,20(8),0.7,0.3,1,0,0.7,0.2,0.1,0,6.63,196,,"Jeffrey SarpongNAC Breda, 27, AM(CLR)",19(9),1844,2,5,1.3,1.3,0.9,1.1,0.2,1,1.5,6.77,161,,"Jeffrey SarpongNAC Breda, 27, AM(CLR)",19(9),1844,5,1.3,21.5,80.6,0.9,1,-,6.77
Mart Lieder,FC Dordrecht,20(3),1693,3,2,2,0,2,70.3,1.9,0,6.43,20(3),0.3,0.1,1.7,0,0.8,0.3,0.1,0,6.43,240,,"Timo LetschertUtrecht, 22, D(CR)",19(4),1843,-,1,0.9,0.3,0.5,0.9,-,0.3,0.4,7.06,82,,"Timo LetschertUtrecht, 22, D(CR)",19(4),1843,1,0.3,42.2,85.4,0.1,4.2,-,7.06
Marten de Roon,Heerenveen,32,2772,1,0,8,1,1.3,74.4,2.1,0,7.13,32,3.5,2.2,2.2,0.2,2.7,1.7,0.4,0,7.13,64,,"Jeroen VeldmateHeracles, 26, D(C)",21,1835,2,1,0.8,0.4,0.3,0.6,-,0.1,0.2,7.08,74,,"Jeroen VeldmateHeracles, 26, D(C)",21,1835,1,0.4,38.8,82.4,-,5.2,-,7.08
Martijn Barto,Cambuur,12(17),1458,4,1,1,0,1.2,65.5,1.1,1,6.46,12(17),1,0.3,1.2,0,0.5,0.5,0.1,0,6.46,236,,"Marnix KolderGo Ahead Eagles, 34, FW",20(8),1817,3,-,2,0.9,0.2,1.7,0.3,1.1,1.7,6.63,196,,"Marnix KolderGo Ahead Eagles, 34, FW",20(8),1817,-,0.9,24.9,63.5,0.1,0.5,-,6.63
Martin Hansen,ADO Den Haag,32,2880,0,0,1,0,0,59.3,0.2,1,6.84,32,0.1,0,0,0,0.9,0,0,0,6.84,143,,"Thom HayeAZ Alkmaar, 20, AM(CL)",22(6),1813,-,3,1,1,1.1,0.6,-,0.9,1.2,6.79,152,,"Thom HayeAZ Alkmaar, 20, AM(CL)",22(6),1813,3,1,29.7,73.3,0.6,2.8,0.1,6.79
Marvin Peersman,FC Dordrecht,24(2),2134,0,0,3,2,0.6,74,3.1,2,7,24(2),2.5,2.5,1.4,0.5,8.1,0.9,0.7,0,7,92,,"Kevin DiksVitesse, 18, D(R)",20(2),1809,-,-,0.2,0.4,0.5,0.8,-,0.3,0.5,7.2,46,,"Kevin DiksVitesse, 18, D(R)",20(2),1809,-,0.4,44.3,80.4,0.1,3.4,-,7.2
Mats Seuntjens,NAC Breda,14(17),1491,4,1,1,1,1.6,67.4,1,0,6.57,14(17),0.7,0.3,0.9,0,0.7,0.3,0.1,0,6.57,212,,"Iliass Bel HassaniHeracles, 22, AM(C)",16(15),1806,4,5,1.6,1.4,1.5,1.1,0.2,1.5,1.1,6.83,148,,"Iliass Bel HassaniHeracles, 22, AM(C)",16(15),1806,5,1.4,23.4,74.1,0.6,1.3,-,6.83
Mattias Johansson,AZ Alkmaar,27(4),2547,1,2,7,0,0.6,73.9,1.5,1,7.22,27(4),3.3,2.4,1.4,0.2,3.1,1.1,0.4,0,7.22,39,,"Terell OndaanWillem II, 21, AM(R)",20(13),1799,2,5,1.6,0.9,1.2,1.6,0.5,2.2,2.4,6.73,175,,"Terell OndaanWillem II, 21, AM(R)",20(13),1799,5,0.9,13.5,65.8,0.3,0.4,-,6.73
Memphis Depay,PSV Eindhoven,30,2565,22,5,2,0,5.4,74.7,0.3,8,7.92,30,0.8,0.4,0.7,0,0.3,0.4,0,0,7.92,2,,"Yoëll van NieffGroningen, 22, D(L),DM(C)",19(5),1791,1,-,0.3,0.4,0.4,1,-,0.7,0.8,6.86,137,,"Yoëll van NieffGroningen, 22, D(L),DM(C)",19(5),1791,-,0.4,32.6,75.6,0.3,3.7,-,6.86
Michael de Leeuw,Groningen,23(5),2145,17,1,2,0,1.7,77.7,1.6,3,6.92,23(5),0.6,0.3,1.6,0,0.6,0.5,0.3,0,6.92,121,,"Nicolai BoilesenAjax, 23, D(L)",22,1788,-,3,0.4,0.5,1,1,-,0.6,1,7.2,43,,"Nicolai BoilesenAjax, 23, D(L)",22,1788,3,0.5,44.5,80.9,0.5,2,-,7.2
Michiel Kramer,ADO Den Haag,31(1),2681,17,1,7,0,2.4,64.1,5,5,7.19,31(1),0.5,0.4,1.5,0,0.6,0.3,0.2,0,7.19,49,,"Mustafa SaymakPEC Zwolle, 22, M(CR)",21(5),1780,6,-,2,0.7,0.6,1.2,0.3,1.5,0.6,6.79,155,,"Mustafa SaymakPEC Zwolle, 22, M(CR)",21(5),1780,-,0.7,29.8,79.1,0.2,2.2,0.1,6.79
Mickey van der Hart,Go Ahead Eagles,22,1980,0,0,0,0,0,58.8,0.3,1,6.99,22,0.1,0,0,0,1.5,0,0,0,6.99,99,,"Jean-Paul BoëtiusFeyenoord, 21, AM(L)",20(11),1770,4,3,1.5,1.3,0.9,1.8,0.2,1.4,1.5,6.79,153,,"Jean-Paul BoëtiusFeyenoord, 21, AM(L)",20(11),1770,3,1.3,20.2,79.7,0.5,1,0.1,6.79
Mike te Wierik,Heracles,24,2160,0,1,3,0,0,80.3,1.5,0,6.94,24,2.7,2.5,1.8,0.4,5.5,0.6,0.8,0,6.94,112,,"Sam LarssonHeerenveen, 22, AM(L)",21,1766,8,4,1.8,2.3,2.6,1.3,-,2.5,2,7.72,4,,"Sam LarssonHeerenveen, 22, AM(L)",21,1766,4,2.3,34.4,77.1,1.3,1.6,0.1,7.72
Mike van Duinen,ADO Den Haag,31(2),2748,5,2,4,0,1.7,63.5,1.3,0,6.6,31(2),1.1,0.5,0.8,0,0.5,0.9,0,0,6.6,201,,"Furdjel NarsinghCambuur, 27, AM(LR)",19(4),1756,-,8,1.9,2.4,1.9,1,0.2,1.7,1.2,6.99,97,,"Furdjel NarsinghCambuur, 27, AM(LR)",19(4),1756,8,2.4,24.3,81.2,1,0.4,-,6.99
Mimoun Mahi,Groningen,13(13),1292,1,2,3,0,1.5,71.9,0.3,0,6.57,13(13),1.1,0.5,1.2,0,0.7,0.7,0.1,0,6.57,214,,"Daley SinkgravenHeerenveen, 20, AM(CL)",20,1740,4,2,1,2,1.4,2.4,0.1,2.4,1.6,7.2,42,,"Daley SinkgravenHeerenveen, 20, AM(CL)",20,1740,2,2,37.1,79,1,1.9,0.1,7.2
Miquel Nelom,Feyenoord,30,2625,0,2,3,0,0.4,82.4,1.6,0,7.08,30,2.5,1.6,0.9,0.4,3,0.4,0.2,0,7.08,78,,"Tomas NecidPEC Zwolle, 26, FW",19(5),1728,11,3,2.8,0.6,0.3,1.4,0.5,1.8,2.1,6.93,116,,"Tomas NecidPEC Zwolle, 26, FW",19(5),1728,3,0.6,18.5,73.1,-,0.4,-,6.93
Mitchell Dijks,Willem II,28,2492,0,1,6,0,0.6,77.3,1.6,1,7.08,28,2.8,2.5,1.8,0.3,3.1,0.3,0.3,0,7.08,75,,"Santiago AriasPSV Eindhoven, 23, D(R)",19(2),1726,1,1,0.5,1.1,1.1,1.3,-,0.5,0.5,7.31,22,,"Santiago AriasPSV Eindhoven, 23, D(R)",19(2),1726,1,1.1,41.1,83.9,0.9,1.6,-,7.31
Mitchell te Vrede,Feyenoord,7(13),808,7,0,2,0,2.6,64,2.1,1,6.57,7(13),0.2,0.1,0.9,0,0.4,0.2,0,0,6.57,213,,"Rémy AmieuxNAC Breda, 28, D(L)",20(1),1711,-,1,0.3,0.8,0.3,1,0.2,0.1,0.7,6.92,118,,"Rémy AmieuxNAC Breda, 28, D(L)",20(1),1711,1,0.8,31.3,73.9,0.3,2,-,6.92
Mohamed El Makrini,Cambuur,32,2712,0,1,5,0,0.5,79.9,1.4,0,6.85,32,3.3,1.9,2.2,0.1,2,0.9,0.5,0,6.85,141,,"Gino CoutinhoExcelsior, 33, GK",19,1710,-,-,-,0.1,0.1,0.1,-,0.1,0.1,6.52,229,,"Gino CoutinhoExcelsior, 33, GK",19,1710,-,0.1,30.4,57.6,-,9.3,-,6.52
Muamer Tankovic,AZ Alkmaar,17(9),1657,5,4,0,0,2,80.1,0.2,0,6.75,17(9),0.3,0.2,0.7,0,0.2,0.8,0.1,0,6.75,167,,"Hans HateboerGroningen, 21, D(R)",18(5),1703,-,2,0.3,0.7,0.3,0.4,0.1,0.7,0.6,6.75,170,,"Hans HateboerGroningen, 21, D(R)",18(5),1703,2,0.7,24.7,78.9,0.4,1.4,-,6.75
Mustafa Saymak,PEC Zwolle,21(5),1780,6,0,1,0,2,79.1,0.3,1,6.79,21(5),0.9,0.8,0.5,0,0.8,1.2,0.2,0,6.79,155,,"Daryl van MieghemExcelsior, 25, AM(L)",20(5),1699,2,4,1,1,1,1,0.2,0.9,1.6,6.56,218,,"Daryl van MieghemExcelsior, 25, AM(L)",20(5),1699,4,1,14.2,61.3,1,0.9,-,6.56
Nemanja Gudelj,AZ Alkmaar,32,2859,11,3,5,1,2.4,81.8,1.7,4,7.35,32,2.3,1.8,2.1,0,1.9,1,0.3,0,7.35,18,,"Rasmus LindgrenGroningen, 30, D(C),DM(C)",20(3),1697,1,1,0.5,0.3,-,1.1,-,0.3,0.2,6.7,183,,"Rasmus LindgrenGroningen, 30, D(C),DM(C)",20(3),1697,1,0.3,43,83.6,-,2.8,-,6.7
Nick Marsman,Twente,21,1890,0,0,2,0,0,66,0.2,1,6.7,21,0,0,0,0,0.6,0,0,0,6.7,184,,"Mart LiederFC Dordrecht, 25, FW",20(3),1693,3,2,2,1,0.5,1.1,0.4,1.3,3,6.43,240,,"Mart LiederFC Dordrecht, 25, FW",20(3),1693,2,1,21.3,70.3,0.2,0.3,-,6.43
Nick van der Velden,Groningen,11(12),1049,1,1,2,0,0.8,70.8,0.8,0,6.35,11(12),0.4,0.3,1.1,0,0.7,0.4,0,0,6.35,247,,"Steven BerghuisAZ Alkmaar, 23, AM(R),FW",19(3),1690,11,4,2.7,1.4,1.8,1,0.2,1,1.9,7.47,13,,"Steven BerghuisAZ Alkmaar, 23, AM(R),FW",19(3),1690,4,1.4,29.5,72.6,0.6,1.6,0.4,7.47
Nick Viergever,Ajax,20(6),1928,2,0,5,0,0.4,85.2,1.6,0,6.98,20(6),1.8,1.7,1,0.2,2.7,0.8,0.5,0,6.98,102,,"Luigi BruinsExcelsior, 28, AM(C)",20(2),1684,2,3,0.6,1.1,1.2,1,-,0.8,0.5,7.01,90,,"Luigi BruinsExcelsior, 28, AM(C)",20(2),1684,3,1.1,33.1,75,0.4,3.4,0.1,7.01
Nicolai Boilesen,Ajax,22,1788,0,3,2,0,0.4,80.9,1.8,1,7.2,22,2.5,2,0.6,0.2,3.6,0.6,0.1,0,7.2,43,,"Muamer TankovicAZ Alkmaar, 20, FW",17(9),1657,5,4,2,1.6,0.8,1.1,0.5,1,2.2,6.75,167,,"Muamer TankovicAZ Alkmaar, 20, FW",17(9),1657,4,1.6,21.5,80.1,0.5,0.7,0.2,6.75
Niklas Moisander,Ajax,25,2205,0,0,1,1,0.3,87.5,1.8,1,7.2,25,1.4,2,0.7,0.5,5.7,0.8,0.5,0,7.2,45,,"Fahd AktaouHeracles, 22, D(L)",19(2),1639,-,-,0.2,0.2,1.3,1.1,-,1.4,0.9,6.88,128,,"Fahd AktaouHeracles, 22, D(L)",19(2),1639,-,0.2,23.6,71.8,0.5,1.8,-,6.88
Ninos Gouriye,Excelsior,10(13),1040,2,3,2,0,1.6,69.8,0.2,1,6.57,10(13),1,0.4,0.9,0,0.3,0.3,0,0,6.57,210,,"Josimar LimaFC Dordrecht, 26, D(C)",19(1),1636,1,1,0.5,0.2,0.1,0.4,-,0.2,0.3,6.87,132,,"Josimar LimaFC Dordrecht, 26, D(C)",19(1),1636,1,0.2,30.2,73.6,-,3,-,6.87
Oussama Tannane,Heracles,19,1593,5,4,1,1,2.9,71.1,0.4,1,7.11,19,2.1,0.8,2.2,0.1,0.4,0.8,0.1,0,7.11,68,,"Timothy DerijckADO Den Haag, 28, D(C)",17(5),1632,-,-,0.2,0.1,-,0.8,0.1,0.1,0.2,6.54,225,,"Timothy DerijckADO Den Haag, 28, D(C)",17(5),1632,-,0.1,37.2,82.2,-,4.4,-,6.54
Pele van Anholt,Heerenveen,32,2815,0,1,3,1,0.6,80.8,1.1,1,7.01,32,2.9,2.5,1.1,0.1,2.5,1.2,0.1,0,7.01,88,,"Jurgen MattheijExcelsior, 22, D(C)",18(2),1630,-,-,0.4,0.1,0.3,0.7,0.1,0.2,0.3,6.97,103,,"Jurgen MattheijExcelsior, 22, D(C)",18(2),1630,-,0.1,28.7,78.2,-,4,0.1,6.97
Ramon Leeuwin,Utrecht,27,2326,0,0,5,1,0.8,86.7,2.9,0,6.91,27,1.5,2.6,1.2,0.9,6,0.4,0.4,1,6.91,122,,"Lucas AndersenAjax, 20, AM(CL)",19(8),1627,2,3,0.7,1.2,1.7,1.6,0.1,2.1,1.6,6.86,136,,"Lucas AndersenAjax, 20, AM(CL)",19(8),1627,3,1.2,27.4,83.3,0.1,0.4,0.2,6.86
Rasmus Bengtsson,Twente,15(2),1264,1,0,3,0,0.4,90.7,1.8,1,6.75,15(2),0.6,1.9,0.7,0.4,4.8,0.2,0.6,0,6.75,171,,"Kenny OtigbaHeerenveen, 23, D(C)",17(7),1624,-,2,0.6,0.3,0.9,1.1,-,0.3,0.5,6.94,114,,"Kenny OtigbaHeerenveen, 23, D(C)",17(7),1624,2,0.3,34.7,81.8,-,2.3,0.1,6.94
Rasmus Lindgren,Groningen,20(3),1697,1,1,3,1,0.5,83.6,1,0,6.7,20(3),1.9,1.2,0.9,0.1,4.2,0.8,0.6,0,6.7,183,,"Bruno AndradeWillem II, 26, AM(LR)",18(9),1618,4,5,2,1,0.9,2.5,0.3,1.9,2.3,6.75,172,,"Bruno AndradeWillem II, 26, AM(LR)",18(9),1618,5,1,15.4,77.6,0.8,0.5,-,6.75
Rémy Amieux,NAC Breda,20(1),1711,0,1,5,0,0.3,73.9,1.6,1,6.92,20(1),2.3,2.2,1.6,0.1,5,0.6,0.4,0,6.92,118,,"Daan BovenbergExcelsior, 26, D(R)",18(1),1608,2,3,0.5,0.4,0.6,0.4,0.1,0.2,0.7,7.11,67,,"Daan BovenbergExcelsior, 26, D(R)",18(1),1608,3,0.4,30.3,65.7,0.2,4,-,7.11
Renato Ibarra,Vitesse,11(12),1115,2,2,2,0,1.5,83.1,0.5,0,6.77,11(12),1,0.6,0.8,0,0.3,0.4,0,0,6.77,164,,"Henrico DrostNAC Breda, 28, D(C)",18,1608,-,-,0.1,0.2,0.1,0.1,-,0.2,0.2,6.77,162,,"Henrico DrostNAC Breda, 28, D(C)",18,1608,-,0.2,33.7,87.6,-,2.2,-,6.77
Renato Tapia,Twente,12(5),1119,5,0,2,1,1.5,70.5,1.6,3,6.94,12(5),2.9,1.2,1.5,0,1.2,1.5,0.1,0,6.94,113,,"Funso OjoFC Dordrecht, 24, M(C)",19,1594,-,-,0.5,0.8,0.6,1.5,0.1,1.3,1.4,6.56,220,,"Funso OjoFC Dordrecht, 24, M(C)",19,1594,-,0.8,41.7,77.3,0.3,2,-,6.56
Ricardo Kishna,Ajax,18(8),1472,5,5,1,0,1.4,76.1,0.4,2,6.89,18(8),0.7,0.3,0.6,0,0.1,0.3,0,0,6.89,127,,"Oussama TannaneHeracles, 21, AM(LR),FW",19,1593,5,4,2.9,1.3,1.8,2.4,0.4,2.3,3,7.11,68,,"Oussama TannaneHeracles, 21, AM(LR),FW",19,1593,4,1.3,23.1,71.1,0.4,1,0.1,7.11
Ricardo van Rhijn,Ajax,28,2500,2,1,1,0,1.2,84.7,0.6,2,7.23,28,2.6,1.7,0.8,0.3,3.2,0.8,0.3,0,7.23,38,,"Kevin JansenADO Den Haag, 23, M(C)",18(7),1590,-,1,0.5,0.7,0.3,0.9,0.2,1.1,1,6.45,237,,"Kevin JansenADO Den Haag, 23, M(C)",18(7),1590,1,0.7,19.5,75.2,0.5,0.8,-,6.45
Rick Karsdorp,Feyenoord,14(5),1246,0,2,1,1,0.2,77.6,0.4,0,6.61,14(5),2,0.9,0.6,0.4,1.4,1.2,0.1,0,6.61,200,,"Jeffrey RijsdijkGo Ahead Eagles, 27, M(C)",18(7),1578,3,4,1,0.8,0.4,0.6,0.1,1,1.3,6.42,241,,"Jeffrey RijsdijkGo Ahead Eagles, 27, M(C)",18(7),1578,4,0.8,21.3,74.7,0.3,0.6,-,6.42
Rick Kruys,Excelsior,28,2390,0,1,2,0,0.5,81.5,1.2,0,6.7,28,2.1,1.7,1.5,0,2.3,0.7,0.4,0,6.7,182,,"William Troost-EkongFC Dordrecht, 21, D(C)",17(5),1570,-,-,0.1,0.1,0.1,0.3,-,0.2,0.2,6.72,177,,"William Troost-EkongFC Dordrecht, 21, D(C)",17(5),1570,-,0.1,27.2,80.8,-,2.3,-,6.72
Rick ten Voorde,FC Dordrecht,11(14),1298,1,1,0,0,0.6,68.5,1.9,0,6.12,11(14),0.4,0.1,0.6,0,0.5,0.4,0.1,0,6.12,254,,"Sander DuitsGo Ahead Eagles, 32, DM(C)",20(3),1544,-,2,0.4,0.7,0.3,0.7,-,0.3,0.7,6.64,195,,"Sander DuitsGo Ahead Eagles, 32, DM(C)",20(3),1544,2,0.7,26.8,71.8,0.1,1.3,0.1,6.64
Ricky van Haaren,FC Dordrecht,17(4),1507,1,0,1,0,1.5,77,1,0,6.65,17(4),1.5,1.5,0.5,0.1,1.4,1.2,0.2,0,6.65,192,,"Aron JóhannssonAZ Alkmaar, 24, FW",17(4),1516,9,3,1.5,1.1,0.3,0.8,0.5,1.6,1.8,6.9,126,,"Aron JóhannssonAZ Alkmaar, 24, FW",17(4),1516,3,1.1,17.1,76.7,-,0.9,-,6.9
Ridgeciano Haps,AZ Alkmaar,2(16),501,0,0,3,0,0.3,66.5,0.8,0,6.31,2(16),0.6,0.8,0.7,0,0.9,0.3,0.1,0,6.31,249,,"Dirk MarcellisNAC Breda, 27, D(C)",17,1512,-,-,0.2,0.1,0.2,0.6,-,0.2,0.6,7.2,44,,"Dirk MarcellisNAC Breda, 27, D(C)",17,1512,-,0.1,33.8,75.3,-,3.3,0.1,7.2
Riechedly Bazoer,Ajax,14(3),1215,1,0,2,0,1.5,86.9,1.2,0,7.02,14(3),1.5,1.1,1.2,0.1,1.2,0.4,0.2,0,7.02,86,,"Ricky van HaarenFC Dordrecht, 24, M(C)",17(4),1507,1,-,1.5,0.9,0.4,0.8,-,0.6,0.6,6.65,192,,"Ricky van HaarenFC Dordrecht, 24, M(C)",17(4),1507,-,0.9,34.3,77,0.7,3.4,0.1,6.65
Robbert Schilder,Twente,29(1),2550,0,0,2,0,0.4,81.7,1.1,0,6.85,29(1),2,1.8,0.9,0.3,2.9,0.7,0.3,0,6.85,140,,"Stef NijlandPEC Zwolle, 27, AM(L),FW",15(15),1502,11,3,1.6,0.8,0.1,0.9,0.3,0.5,1.1,6.59,202,,"Stef NijlandPEC Zwolle, 27, AM(L),FW",15(15),1502,3,0.8,18,76.3,0.2,0.8,-,6.59
Robbie Haemhouts,Willem II,31,2560,5,2,1,0,1.2,73.4,1,1,6.9,31,1.9,2,0.9,0,0.6,0.9,0.2,0,6.9,124,,"Mats SeuntjensNAC Breda, 23, AM(CR),FW",14(17),1491,4,1,1.6,0.8,1,0.7,0.1,1.1,1.4,6.57,212,,"Mats SeuntjensNAC Breda, 23, AM(CR),FW",14(17),1491,1,0.8,14,67.4,0.3,0.8,0.1,6.57
