R,Name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Apps,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,R,,Name,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,R,,Name,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
Dabney dos Santos,AZ Alkmaar,17(6),1349,2,7,0,0,0.9,68,0.4,0,6.75,17(6),0.9,0.7,0.6,0,0.5,0.5,0,0,6.75,168,,"Luciano SlagveerHeerenveen, 21, AM(R)",33,2826,11,3,2.3,1.1,1.5,1.3,0.2,2.7,2.5,7.08,76,,"Luciano SlagveerHeerenveen, 21, AM(R)",33,2826,3,1.1,22.3,73.9,0.7,0.5,0.1,7.08
Daley Sinkgraven,Heerenveen,20,1740,4,2,3,0,1,79,0.6,3,7.2,20,2.1,1.3,1.1,0,1.1,1.1,0.4,1,7.2,42,,"Cuco MartinaTwente, 25, D(CR)",31(1),2822,-,1,0.3,0.4,0.2,0.8,-,0.5,0.6,6.69,187,,"Cuco MartinaTwente, 25, D(CR)",31(1),2822,1,0.4,50.1,81.5,0.2,3.5,-,6.69
Daniel de Ridder,Cambuur,15(6),1229,2,2,2,0,1.5,82.8,0.1,0,6.73,15(6),0.8,0.3,0.7,0,0.4,0.8,0,0,6.73,173,,"Pele van AnholtHeerenveen, 24, D(LR),DM(C)",32,2815,-,1,0.6,0.3,0.9,1.1,0.2,0.8,0.7,7.01,88,,"Pele van AnholtHeerenveen, 24, D(LR),DM(C)",32,2815,1,0.3,35.4,80.8,0.3,3.6,-,7.01
Danny Bakker,ADO Den Haag,12(8),1110,1,1,0,0,0.6,77.1,1.1,0,6.56,12(8),1.5,1.3,0.5,0,1.4,1.2,0.1,0,6.56,217,,"Dries WuytensWillem II, 24, D(C)",31(1),2790,1,-,0.2,0.1,0.1,0.4,-,0.1,0.2,7.11,70,,"Dries WuytensWillem II, 24, D(C)",31(1),2790,-,0.1,48.1,84.3,-,5.6,-,7.11
Danny Hoesen,Groningen,16(5),1421,2,1,2,1,1.7,70.1,1.1,0,6.3,16(5),0.3,0.1,1.6,0,0.2,0.5,0,0,6.3,250,,"Jordy ClasieFeyenoord, 24, DM(C)",31,2780,2,5,1.2,1.3,0.6,1.3,-,0.8,0.8,7.24,33,,"Jordy ClasieFeyenoord, 24, DM(C)",31,2780,5,1.3,65.2,83.2,0.5,6.1,0.1,7.24
Daryl van Mieghem,Excelsior,20(5),1699,2,4,1,0,1,61.3,0.3,0,6.56,20(5),0.5,0.3,0.5,0,0.5,0.6,0,0,6.56,218,,"Marten de RoonHeerenveen, 24, DM(C)",32,2772,1,-,1.3,1,0.3,0.7,0.1,0.7,0.9,7.13,64,,"Marten de RoonHeerenveen, 24, DM(C)",32,2772,-,1,49.8,74.4,0.2,4.3,-,7.13
Davy Klaassen,Ajax,30,2583,6,9,4,0,1.4,82.3,1.6,2,7.47,30,2.7,1.6,1.4,0,1.8,1.1,0.4,0,7.47,11,,"Bart VriendsGo Ahead Eagles, 24, D(C)",31,2760,3,-,0.3,0.3,0.3,0.9,0.1,0.3,0.5,7.14,59,,"Bart VriendsGo Ahead Eagles, 24, D(C)",31,2760,-,0.3,37.3,77.4,-,4.6,-,7.14
Davy Pröpper,Vitesse,30,2587,5,4,5,1,2.4,77,1.9,3,7.24,30,2.3,1,2.5,0,1.5,1.2,0.2,0,7.24,30,,"Bram van PolenPEC Zwolle, 29, D(R)",32,2755,1,1,0.5,0.8,0.3,0.8,0.1,0.3,0.3,7.16,55,,"Bram van PolenPEC Zwolle, 29, D(R)",32,2755,1,0.8,42.5,83.5,0.6,3.7,-,7.16
Deniz Turuc,Go Ahead Eagles,28(1),2444,2,2,4,1,2.1,79.8,0.7,0,6.71,28(1),1.9,1.2,0.8,0,0.9,1,0.2,0,6.71,179,,"Simon PoulsenAZ Alkmaar, 30, D(L)",32,2749,3,3,0.3,0.7,2,0.4,0.1,0.4,0.8,7.24,32,,"Simon PoulsenAZ Alkmaar, 30, D(L)",32,2749,3,0.7,34.5,72.6,0.3,1.6,0.1,7.24
Denni Avdic,Heracles,13(9),1252,4,1,0,0,1.3,70.1,2.4,1,6.58,13(9),1,0.2,1.5,0,0.8,0.5,0.1,0,6.58,207,,"Mike van DuinenADO Den Haag, 23, AM(LR),FW",31(2),2748,5,2,1.7,0.7,0.6,1.3,0.2,1,2,6.6,201,,"Mike van DuinenADO Den Haag, 23, AM(LR),FW",31(2),2748,2,0.7,11.9,63.5,0.2,0.3,-,6.6
