Name,Team,Age,Apps,Mins,Min / app,Goals,Assists,Yel,Red,SpG,PS%,Tackles,Tackles2,Fouls,Drb,KeyP,Fouled,Disp,AvgP
Giovanni Korte,FC Dordrecht,22,17,1327,78,3,0,0,0,1.6,69.3,15,0.9,1.1,0.7,1,1,0.8,46.3
Guram Kashia,Vitesse,28,26,2200,85,1,2,7,0,0.7,83.4,78,3,0.8,0.6,1.5,1.8,1.3,28.6
Guus Hupperts,AZ Alkmaar,23,28,1382,49,2,1,4,0,1.3,68.9,25,0.9,0.7,0.5,2.2,1.6,2.1,47.7
Hakim Ziyech,Twente,22,31,2723,88,11,16,4,0,3.6,73.1,68,2.2,1.8,1.5,1.4,1.5,1.1,49.3
Hans Hateboer,Groningen,21,23,1703,74,0,2,3,0,0.3,78.9,53,2.3,1.4,0.6,0.2,0.3,0.4,43.2
Henrico Drost,NAC Breda,28,18,1608,89,0,0,2,0,0.1,87.6,16,0.9,0.4,0.3,0.3,1,0.4,25.9
Ilias Haddad,FC Dordrecht,26,25,1964,79,0,0,6,2,0.5,81.9,45,1.8,2,0.6,0.4,0.6,0.4,46.9
Iliass Bel Hassani,Heracles,22,31,1806,58,4,5,2,0,1.6,74.1,31,1,0.4,0.4,2,1.6,2.5,32
Jaïro Riedewald,Ajax,18,19,946,50,0,0,1,0,0.1,89.9,34,1.8,0.5,0.4,0.9,0.8,1.2,30.4
Jan-Arie van der Heijden,Vitesse,27,32,2832,89,2,1,5,0,0.6,87.4,83,2.6,1.1,0.8,0.2,0.8,0.1,45.8
Jarchinio Antonia,Groningen,24,27,1888,70,2,7,4,0,0.8,74.4,35,1.3,0.3,0.5,1.3,2.1,2,20.3
Jasper Cillessen,Ajax,26,32,2880,90,0,0,0,0,0,65.4,3,0.1,0,0.1,1.7,0.9,1.7,22.2
Jean-Paul Boëtius,Feyenoord,21,31,1770,57,4,3,2,0,1.5,79.7,47,1.5,1.3,0.4,0.7,0.7,0.3,36.9
Jeff Stans,Excelsior,25,34,2743,81,10,3,2,0,1.1,72,48,1.4,0.9,1.5,0.5,1.1,0.5,34.1
Jeffrey Bruma,PSV Eindhoven,23,31,2643,85,3,2,2,1,1,88.7,47,1.5,0.6,0.4,1.2,0.9,1.7,51.4
Jeffrey Gouweleeuw,AZ Alkmaar,24,34,3060,90,1,3,4,0,0.6,78,71,2.1,1.1,0.6,0.8,0.9,1,41.4
Jeffrey Rijsdijk,Go Ahead Eagles,27,25,1578,63,3,4,0,0,1,74.7,20,0.8,0.4,0.3,1.9,1.9,1.9,43.3
Jeffrey Sarpong,NAC Breda,27,28,1844,66,2,5,2,0,1.3,80.6,48,1.7,0.9,0.4,1.2,2.1,3.6,20.4
Jeffry Fortes,FC Dordrecht,26,31,2631,85,3,1,3,0,0.8,71.6,65,2.1,1,1.1,1.2,1,1.7,31.1
Jelle ten Rouwelaar,NAC Breda,34,34,3060,90,0,0,3,0,0,52.2,3,0.1,0.1,0,0.4,1.4,0.4,45.8
Jens Toornstra,Feyenoord,26,29,2066,71,7,4,0,0,2.5,78.5,26,0.9,0.8,0.6,1.2,0.4,0.6,47.5
Jeroen Veldmate,Heracles,26,21,1835,87,2,1,3,1,0.8,82.4,36,1.7,1.6,0.4,0.6,1.2,1.1,34.7
Jeroen Zoet,PSV Eindhoven,24,32,2880,90,0,0,0,0,0,72.9,0,0,0,0,2.5,1.6,1.3,34.4
Jerson Cabral,Willem II,24,17,721,42,2,0,2,0,1.1,75.5,15,0.9,0.5,0.5,1.1,0.6,2.7,23.2
Jesper Drost,PEC Zwolle,22,33,2856,87,8,8,4,0,1.6,78.7,36,1.1,1.2,0.6,0.9,1,0.4,26.9
Jesús Manuel Corona,Twente,22,27,2309,86,9,4,3,0,2,77.1,54,2,1.1,1,0.9,2.3,1.9,32.8
Jetro Willems,PSV Eindhoven,21,30,2455,82,2,13,9,1,0.7,78.5,48,1.6,1.5,0.6,1.3,2,1.8,25.1
Jody Lukoki,PEC Zwolle,22,31,2556,82,2,3,7,0,0.9,75.4,62,2,1.4,0.5,0.4,0.4,0.3,31.3
Joël Veltman,Ajax,23,25,2186,87,4,0,3,0,0.6,88.6,50,2,1.1,0.4,2,1,1.7,43.4
Joeri de Kamps,NAC Breda,23,29,2354,81,0,4,12,0,0.5,76.1,113,3.9,2.4,2.4,0.5,0.7,0.4,29
Joey Pelupessy,Heracles,22,17,986,58,1,0,1,0,0.4,81.4,31,1.8,1.2,0.4,1.1,0.7,2.2,24.6
Joey van den Berg,Heerenveen,29,29,2535,87,2,5,9,1,1.4,77.1,58,2,2,1.1,0.5,0.4,0.4,32.4
Johan Kappelhof,Groningen,25,29,2576,89,0,0,1,1,0,84.1,44,1.5,1.2,0.5,0.9,1.1,1.3,37
Joost Broerse,PEC Zwolle,36,20,1315,66,1,0,1,0,0.5,82.9,14,0.7,0.5,0.5,0,0.1,0,26.4
Joost van Aken,Heerenveen,21,30,2630,88,0,0,5,0,0.5,78.4,69,2.3,1.1,0.7,0.9,1.9,0.9,25.8
Jop van der Linden,Go Ahead Eagles,25,32,2845,89,1,4,4,0,1,77,58,1.8,0.7,0.5,0.3,0.7,0.1,53.7
